"","Date","Session","Pseudo","Treatment","TotalScore","Flight","Bonus","Mine","Fortress","Day","Zscore","Zscore_Flight","Zscore_Bonus","Zscore_Mine","Zscore_Fortress"
"result.12","2019-11-18 19:46:10","D01P1","AL2409",2,3875,-825,700,2750,1250,"D01",-0.566872495344529,0.362110419508681,-0.9481911893775,0.281454052117744,-0.816806342242557
"result.13","2019-11-19 18:00:08","D02P1","AL2409",2,7230,-190,2000,3170,2250,"D02",0.152680447470567,0.920982623449716,0.603439230274835,0.630639158706056,-0.502487702095153
"result.14","2019-11-19 18:12:51","D02P2","AL2409",2,6810,-670,1800,3180,2500,"D02",0.0626022847336544,0.498528044092713,0.36472685802063,0.638953089815301,-0.423908042058302
"result.15","2019-11-20 17:03:16","D03P1","AL2409",2,8270,-150,2150,3770,2500,"D03",0.375731136152444,0.956187171729466,0.782473509465489,1.12947502526079,-0.423908042058302
"result.16","2019-11-20 17:15:19","D03P2","AL2409",2,8820,-350,2800,3620,2750,"D03",0.493690634974591,0.780164430330715,1.55828871929166,1.0047660586221,-0.345328382021451
"result.17","2019-11-21 15:08:03","D04P1","AL2409",2,10330,-100,3200,3980,3250,"D04",0.817543077195394,1.00019285707915,2.03571346380007,1.30406757855494,-0.188169061947749
"result.18","2019-11-21 15:19:17","D04P2","AL2409",2,10060,-150,2700,4010,3500,"D04",0.759635686864522,0.956187171729466,1.43893253316455,1.32900937188268,-0.109589401910898
"result.19","2019-11-22 18:32:35","D05P1","AL2409",2,9250,-400,2150,4000,3500,"D05",0.585913515871906,0.736158744981027,0.782473509465489,1.32069544077343,-0.109589401910898
"result.20","2019-11-22 18:45:08","D05P2","AL2409",2,10170,-300,2750,4220,3500,"D05",0.783227586628952,0.824170115680403,1.49861062622811,1.50360192517684,-0.109589401910898
"result.21","2019-12-02 19:41:12","D14P1","AL2409",2,10260,-350,2900,4210,3500,"D14",0.802530050072576,0.780164430330715,1.67764490541876,1.49528799406759,-0.109589401910898
"result.22","2019-12-02 19:52:31","D14P2","AL2409",2,10750,-400,2650,4000,4500,"D14",0.907621239932306,0.736158744981027,1.379254440101,1.32069544077343,0.204729238236507
"result.23","2019-12-02 07:37:56","D01P1","AR1208",1,2645,-2955,1200,2650,1750,"D01",-0.830672829074058,-1.51253177638802,-0.351410258741986,0.198314741025289,-0.659647022168855
"result.24","2019-12-03 07:12:58","D02P1","AR1208",1,3300,-1810,1250,2110,1750,"D02",-0.690193789567683,-0.504801581880169,-0.291732165678435,-0.25063753887397,-0.659647022168855
"result.25","2019-12-03 07:30:03","D02P2","AR1208",1,2610,-2850,1250,2210,2000,"D02",-0.838179342635467,-1.42011983715368,-0.291732165678435,-0.167498227781515,-0.581067362132004
"result.26","2019-12-04 07:21:21","D03P1","AR1208",1,5515,-1585,1750,3100,2250,"D03",-0.215138717038491,-0.306775997806574,0.305048764957079,0.572441640941337,-0.502487702095153
"result.27","2019-12-04 07:34:21","D03P2","AR1208",1,5400,-1210,1650,2460,2500,"D03",-0.239802975883122,0.0232666423160849,0.185692578829976,0.0403500499496236,-0.423908042058302
"result.28","2019-12-05 07:22:49","D04P1","AR1208",1,6200,-770,2100,2870,2000,"D04",-0.0682255230509085,0.410516673393338,0.722795416401938,0.38122122542869,-0.581067362132004
"result.29","2019-12-05 07:39:47","D04P2","AR1208",1,7205,-1105,2750,3310,2250,"D04",0.14731865206956,0.115678581550429,1.49861062622811,0.747034194235493,-0.502487702095153
"result.30","2019-12-06 07:24:29","D05P1","AR1208",1,7935,-805,2950,3040,2750,"D05",0.303883077778955,0.379712693648556,1.73732299848231,0.522558054285864,-0.345328382021451
"result.31","2019-12-06 07:34:50","D05P2","AR1208",1,7225,-1055,2350,2930,3000,"D05",0.151608088390365,0.159684266900117,1.02118588171969,0.431104812084163,-0.2667487219846
"result.32","2019-12-18 07:24:10","D14P1","AR1208",1,8330,-350,2800,3130,2750,"D14",0.38859944511486,0.780164430330715,1.55828871929166,0.597383434269074,-0.345328382021451
"result.33","2019-12-18 07:36:39","D14P2","AR1208",1,7675,-1355,2350,3180,3500,"D14",0.248120405608485,-0.10434984519801,1.02118588171969,0.638953089815301,-0.109589401910898
"result.34","2018-06-04 17:55:12","D01P1","AS0808",1,5675,-645,1600,3220,1500,"D01",-0.180823226472049,0.520530886767557,0.126014485766424,0.672208814252283,-0.738226682205706
"result.35","2018-06-05 10:03:20","D02P1","AS0808",1,6730,-720,1950,3250,2250,"D02",0.045444539450433,0.454522358743025,0.543761137211284,0.69715060758002,-0.502487702095153
"result.36","2018-06-05 10:03:20","D02P2","AS0808",1,6430,-720,1950,2700,2500,"D02",-0.0188970053616471,0.454522358743025,0.543761137211284,0.239884396571516,-0.423908042058302
"result.37","2018-06-06 10:05:54","D03P1","AS0808",1,7925,-805,2550,3180,3000,"D03",0.301738359618552,0.379712693648556,1.2598982539739,0.638953089815301,-0.2667487219846
"result.38","2018-06-06 10:05:54","D03P2","AS0808",1,8915,-355,2950,3570,2750,"D03",0.514065457498416,0.775763861795746,1.73732299848231,0.963196403075877,-0.345328382021451
"result.39","2018-06-07 10:05:43","D04P1","AS0808",1,8715,-135,1700,3900,3250,"D04",0.471171094290363,0.969388877334373,0.245370671893527,1.23755612968098,-0.188169061947749
"result.40","2018-06-07 10:05:43","D04P2","AS0808",1,10840,-450,2150,3390,5750,"D04",0.926923703375931,0.69215305963134,0.782473509465489,0.813545643109457,0.597627538420762
"result.41","2018-06-08 10:04:00","D05P1","AS0808",1,10725,-485,2450,4010,4750,"D05",0.9022594445313,0.661349079886558,1.1405420678468,1.32900937188268,0.283308898273358
