,Pseudo,Group,D01P1,D05P1,Change
3,NB1309,SHAM,2305,10090,7785
4,RC1907,SHAM,2105,10885,8780
5,EC2802,STIMSD,-610,5480,6090
6,VL1401,STIMSD,3910,16040,12130
7,CA2209,SHAM,-1525,5780,7305
8,LB0609,SHAM,5680,15620,9940
9,TB3004,SHAM,1995,5960,3965
10,TS2305,SHAM,-350,10215,10565
11,EB2307,STIMSD,-425,4770,5195
12,LL0206,STIMSD,6005,14310,8305
13,YC1703,STIMSD,4110,8435,4325
14,JM1704,SHAM,1965,8305,6340
15,ME1301,SHAM,-2725,740,3465
16,PC2104,STIMSD,2215,5445,3230
17,AL2409,SHAM,3715,8960,5245
18,CO1106,SHAM,1860,7540,5680
19,CB2708,STIMSD,760,7280,6520
20,CJ1906,STIMSD,3060,12590,9530
21,AR1208,STIMSD,2425,7725,5300
22,BM0103,STIMSD,4690,10860,6170
23,HA2212,STIMSD,-2170,6025,8195
24,AS0808,STIMSD,5425,10415,4990
25,GF0912,STIMSD,1965,8575,6610
26,GM2504,STIMSD,820,9385,8565
27,LB2705,STIMSD,-3665,3050,6715
29,SB2903,STIMSD,-390,8210,8600
30,AC2302,SHAM,2710,15370,12660
31,HI0310,SHAM,4915,13250,8335
32,JP1711,SHAM,1370,5475,4105
33,LD2304,SHAM,-5805,1710,7515
35,SF2107,SHAM,-1955,5640,7595
36,CB1706,STIMSD,6440,11195,4755
37,LV0603,STIMSD,6390,12875,6485
38,CR2709,SHAM,4530,8920,4390
39,GF1410,STIMSD,2380,3925,1545
42,SL0804,STIMSD,4580,8090,3510
43,TH0605,SHAM,4475,14140,9665
44,BS1410,SHAM,-1820,4470,6290
45,JA2904,STIMSD,4360,6440,2080
46,JT0601,SHAM,3545,15730,12185
47,LD2501,STIMHD,3110,8210,5100
48,SV2801,STIMHD,5410,12855,7445
49,MH0507,STIMHD,1645,7850,6205
50,EJ0511,STIMHD,3720,9080,5360
51,SA2706,STIMHD,-610,10580,11190
52,AF1105,STIMHD,2900,4640,1740
53,MP1112,STIMHD,815,6820,6005
54,VM3004,STIMHD,5800,16820,11020
55,CD1003,STIMHD,2110,11180,9070
56,EA0703,STIMHD,1365,9220,7855
57,VL1404,STIMHD,3590,7855,4265
58,SR1210,STIMHD,3555,10020,6465
59,LG0806,STIMHD,-3900,6330,10230
60,NF0306,STIMHD,3780,14230,10450
61,JK1002,STIMHD,3980,17080,13100
63,KM0102,STIMHD,4240,11635,7395
64,GC0511,STIMHD,2160,8370,6210
65,EV1810,STIMHD,4915,10160,5245
66,MN0802,STIMHD,3805,11070,7265
67,CP2301,STIMHD,2740,14445,11705
68,TT2010,STIMHD,4460,15160,10700
