Time;Channel 1;Channel 2
18,8;0,136937297;-3,473821236
18,9;0,040868226;-3,408438767
19;-0,038200658;-3,323861253
19,1;-0,100179;-3,220028994
19,2;-0,145011364;-3,09692458
19,3;-0,172676775;-2,95457296
19,4;-0,183188178;-2,79304141
19,5;-0,176591844;-2,612439403
19,6;-0,1529667;-2,412918376
19,7;-0,112423605;-2,194671396
19,8;-0,055104572;-1,957932727
19,9;0,018818064;-1,702977293
20;0,109142529;-1,430120049
20,1;0,215638527;-1,139715243
20,2;0,338048204;-0,832155596
20,3;0,476087144;-0,507871374
20,4;0,629445395;-0,167329375
20,5;0,797788518;0,188968169
20,6;0,980758664;0,560484788
20,7;1,177975653;0,946651033
20,8;1,38903807;1,346865829
20,9;1,613524362;1,760497884
21;1,850993932;2,186887176
21,1;2,100988227;2,625346494
21,2;2,363031818;3,075163041
21,3;2,636633464;3,535600079
21,4;2,921287159;4,005898634
21,5;3,216473157;4,485279223
21,6;3,521658967;4,972943626
21,7;3,836300328;5,468076681
21,8;4,159842143;5,969848097
21,9;4,491719385;6,477414285
22;4,831357966;6,989920193
22,1;5,178175572;7,506501155
22,2;5,531582462;8,026284726
22,3;5,89098224;8,548392525
22,4;6,255772581;9,071942052
22,5;6,625345932;9,596048509
22,6;6,999090184;10,11982658
22,7;7,376389304;10,6423922
22,8;7,756623943;11,16286431
22,9;8,139172017;11,68036651
23;8,523409266;12,1940288
23,1;8,908709785;12,70298917
23,2;9,294446548;13,20639518
23,3;9,679991916;13,70340556
23,4;10,06471814;14,19319167
23,5;10,44799784;14,67493899
23,6;10,82920451;15,14784853
23,7;11,20771303;15,61113818
23,8;11,58290012;16,06404405
23,9;11,95414485;16,50582172
24;12,32082919;16,93574743
24,1;12,68233847;17,35311925
24,2;13,03806197;17,75725818
24,3;13,38739345;18,14750918
24,4;13,72973171;18,52324214
24,5;14,06448121;18,88385285
24,6;14,39105265;19,22876381
24,7;14,70886365;19,55742507
24,8;15,01733933;19,86931496
24,9;15,31591307;20,16394077
25;15,60402714;20,44083936
25,1;15,88113344;20,69957774
25,2;16,14669425;20,93975356
25,3;16,40018298;21,16099552
25,4;16,64108497;21,36296377
25,5;16,86889829;21,54535025
25,6;17,08313458;21,70787889
25,7;17,28331992;21,85030588
25,8;17,46899566;21,97241982
25,9;17,63971939;22,07404176
26;17,79506578;22,15502535
26,1;17,93462758;22,21525676
26,2;18,05801655;22,25465473
26,3;18,16486444;22,27317044
26,4;18,25482398;22,27078741
26,5;18,3275699;22,2475214
26,6;18,38279994;22,20342019
26,7;18,4202359;22,13856339
26,8;18,43962464;22,05306224
26,9;18,44073919;21,94705931
27;18,42337972;21,82072828
27,1;18,38737463;21,67427359
27,2;18,33258156;21,50793015
27,3;18,2588884;21,32196302
27,4;18,1662143;21,11666703
27,5;18,05451062;20,89236643
27,6;17,92376189;20,64941449
27,7;17,77398668;20,38819309
27,8;17,60523844;20,10911231
27,9;17,41760632;19,81260996
28;17,21121587;19,49915113
28,1;16,9862297;19,16922767
28,2;16,7428481;18,82335768
28,3;16,48130947;18,46208497
28,4;16,20189079;18,08597847
28,5;15,9049079;17,69563159
28,6;15,5907157;17,29166159
28,7;15,25970827;16,87470889
28,8;14,9123188;16,44543629
28,9;14,54901949;16,00452823
29;14,17032127;15,55268991
29,1;13,77677338;15,09064647
29,2;13,36896287;14,61914197
29,3;12,94751393;14,13893846
29,4;12,51308705;13,6508149
29,5;12,06637813;13,15556606
29,6;11,60811737;12,65400133
29,7;11,13906805;12,14694351
29,8;10,66002515;11,6352275
29,9;10,1718139;11,11969894
30;9,675288086;10,60121281
30,1;9,171328339;10,08063194
30,2;8,660840213;9,558825475
30,3;8,144752179;9,036667269
30,4;7,624013483;8,515034245
30,5;7,0995919;7,99480468
30,6;6,572471379;7,476856439
30,7;6,043649593;6,96206518
30,8;5,514135394;6,451302492
30,9;4,984946199;5,94543402
31;4,457105305;5,445317542
31,1;3,93163914;4,951801022
31,2;3,409574472;4,465720653
31,3;2,891935577;3,987898876
31,4;2,379741379;3,519142393
31,5;1,874002578;3,060240181
31,6;1,37571877;2,61196152
31,7;0,885875574;2,175054022
31,8;0,405441788;1,750241698
31,9;-0,064633428;1,338223051
32;-0,523423322;0,939669211
32,1;-0,97002626;0,555222122
32,2;-1,403568366;0,185492789
32,3;-1,823206083;-0,168940417
32,4;-2,22812864;-0,507533364
32,5;-2,617560424;-0,829777697
32,6;-2,990763229;-1,135202278
32,7;-3,347038396;-1,423374525
32,8;-3,68572881;-1,693901652
32,9;-4,006220765;-1,946431791
33;-4,307945674;-2,180655002
33,1;-4,590381631;-2,396304144
33,2;-4,853054809;-2,593155637
33,3;-5,095540689;-2,771030071
33,4;-5,317465131;-2,929792689
33,5;-5,518505266;-3,069353733
33,6;-5,698390218;-3,189668635
33,7;-5,856901653;-3,29073808
33,8;-5,993874142;-3,372607917
33,9;-6,109195362;-3,435368919
34;-6,2028061;-3,479156409
34,1;-6,274700096;-3,504149735
34,2;-6,324923703;-3,510571597
34,3;-6,353575376;-3,498687249
34,4;-6,360805;-3,468803547
34,5;-6,346813046;-3,421267881
34,6;-6,311849584;-3,35646697
34,7;-6,256213132;-3,274825538
34,8;-6,180249375;-3,176804875
34,9;-6,084349734;-3,062901291
35;-5,96894981;-2,93364446
35,1;-5,834527704;-2,789595668
35,2;-5,681602215;-2,631345979
35,3;-5,510730946;-2,459514313
35,4;-5,322508294;-2,274745454
35,5;-5,117563372;-2,077707993
35,6;-4,896557844;-1,86909222
35,7;-4,660183698;-1,649607972
35,8;-4,409160967;-1,419982442
35,9;-4,144235404;-1,180957963
36;-3,866176115;-0,933289777
36,1;-3,575773183;-0,677743794
36,2;-3,273835265;-0,415094356
36,3;-2,961187195;-0,146122008
36,4;-2,638667592;0,128388706
36,5;-2,307126489;0,40765142
36,6;-1,967422991;0,690880083
36,7;-1,620422966;0,97729105
36,8;-1,26699679;1,266105119
36,9;-0,908017132;1,556549511
37;-0,544356808;1,847859781
37,1;-0,176886698;2,139281654
37,2;0,193526266;2,430072792
37,3;0,566021035;2,719504465
37,4;0,939744294;3,006863149
37,5;1,313852231;3,291452023
37,6;1,687512212;3,572592375
37,7;2,059904373;3,849624919
37,8;2,430223118;4,121911008
37,9;2,797678531;4,388833756
38;3,16149769;4,649799066
38,1;3,520925904;4,904236553
38,2;3,875227852;5,151600388
38,3;4,22368864;5,391370029
38,4;4,565614769;5,62305088
38,5;4,900335024;5,846174847
38,6;5,227201283;6,060300814
38,7;5,545589249;6,265015036
38,8;5,854899111;6,459931451
38,9;6,154556134;6,644691916
39;6,444011191;6,818966373
39,1;6,722741223;6,982452947
39,2;6,990249651;7,134877978
39,3;7,24606673;7,27599599
39,4;7,48974985;7,405589608
39,5;7,720883795;7,523469416
39,6;7,939080956;7,629473777
39,7;8,143981508;7,72346859
39,8;8,335253548;7,805347026
39,9;8,512593197;7,875029206
40;8,675724671;7,932461854
40,1;8,824400322;7,977617909
40,2;8,958400642;8,010496109
40,3;9,077534239;8,031120534
40,4;9,181637785;8,039540131
40,5;9,27057593;8,0358282
40,6;9,344241195;8,020081858
40,7;9,402553827;7,992421475
40,8;9,445461633;7,952990084
40,9;9,472939784;7,901952769
41;9,484990586;7,839496021
41,1;9,481643217;7,765827073
41,2;9,46295344;7,681173208
41,3;9,42900327;7,585781039
41,4;9,379900615;7,47991576
41,5;9,315778873;7,363860381
41,6;9,236796498;7,237914919
41,7;9,143136529;7,102395581
41,8;9,035006078;6,957633913
41,9;8,912635782;6,803975921
42;8,776279216;6,641781171
42,1;8,626212266;6,471421864
42,2;8,462732454;6,293281881
42,3;8,28615823;6,107755807
42,4;8,096828214;5,915247931
42,5;7,895100395;5,716171215
42,6;7,681351296;5,510946254
42,7;7,455975089;5,300000201
42,8;7,219382673;5,083765688
42,9;6,972000716;4,86267972
43;6,714270651;4,637182559
43,1;6,44664764;4,407716591
43,2;6,169599497;4,174725184
43,3;5,883605569;3,938651538
43,4;5,58915559;3,699937524
43,5;5,286748495;3,459022517
43,6;4,976891205;3,216342238
43,7;4,660097383;2,972327589
43,8;4,336886177;2,727403501
43,9;4,007780929;2,481987793
44;3,673307887;2,236490049
44,1;3,333994889;1,99131051
44,2;2,990370058;1,746838999
44,3;2,642960481;1,503453869
44,4;2,292290898;1,261520983
44,5;1,93888239;1,021392737
44,6;1,583251094;0,78340712
44,7;1,225906916;0,547886822
44,8;0,867352287;0,315138399
44,9;0,508080938;0,085451488
45;0,148576716;-0,14090191
45,1;-0,210687561;-0,363668088
45,2;-0,569251204;-0,582612218
45,3;-0,9266667;-0,797518863
45,4;-1,282500712;-1,008192416
45,5;-1,636335014;-1,214457462
45,6;-1,987767373;-1,416159059
45,7;-2,33641236;-1,613162939
45,8;-2,681902094;-1,805355618
45,9;-3,023886919;-1,992644435
46;-3,362036008;-2,174957493
46,1;-3,696037884;-2,352243524
46,2;-4,02560088;-2,524471664
46,3;-4,350453514;-2,691631151
46,4;-4,670344794;-2,853730942
46,5;-4,98504444;-3,01079925
46,6;-5,294343044;-3,162883001
46,7;-5,598052138;-3,310047232
46,8;-5,896004202;-3,452374399
46,9;-6,188052589;-3,589963633
47;-6,47407138;-3,72292993
47,1;-6,753955173;-3,851403277
47,2;-7,027618802;-3,975527731
47,3;-7,294996995;-4,095460452
47,4;-7,556043971;-4,211370686
47,5;-7,810732976;-4,323438713
47,6;-8,059055771;-4,431854769
47,7;-8,301022059;-4,536817933
47,8;-8,536658869;-4,638534989
47,9;-8,766009886;-4,73721928
48;-8,989134742;-4,833089537
48,1;-9,206108258;-4,926368712
48,2;-9,417019664;-5,017282799
48,3;-9,621971769;-5,106059664
48,4;-9,821080117;-5,192927886
48,5;-10,01447211;-5,278115601
48,6;-10,2022861;-5,361849381
48,7;-10,3846705;-5,44435312
48,8;-10,56178283;-5,525846955
48,9;-10,73378878;-5,606546219
49;-10,90086125;-5,686660425
49,1;-11,06317944;-5,766392295
49,2;-11,22092784;-5,845936825
49,3;-11,37429531;-5,925480414
49,4;-11,52347417;-6,005200022
49,5;-11,6686592;-6,085262408
49,6;-11,81004684;-6,165823407
49,7;-11,94783422;-6,24702728
49,8;-12,08221833;-6,329006124
49,9;-12,21339521;-6,411879342
50;-12,3415591;-6,495753198
50,1;-12,46690175;-6,580720421
50,2;-12,58961162;-6,666859902
50,3;-12,70987325;-6,754236457
50,4;-12,82786662;-6,842900666
50,5;-12,94376658;-6,932888797
50,6;-13,05774233;-7,024222801
50,7;-13,16995694;-7,116910389
50,8;-13,28056694;-7,21094519
50,9;-13,38972197;-7,306306977
51;-13,49756453;-7,402961974
51,1;-13,60422964;-7,500863239
51,2;-13,70984477;-7,59995111
51,3;-13,81452966;-7,700153731
51,4;-13,91839627;-7,801387638
51,5;-14,02154878;-7,903558413
51,6;-14,12408365;-8,006561392
51,7;-14,22608968;-8,110282436
51,8;-14,3276482;-8,214598745
51,9;-14,42883323;-8,319379717
